61499fb3a11906250f70ee8d,campaign,malu-tanggal-muda
60a602efe09d363e90200aa6,campaign,promo-pesawat
60a75270e09d363e90200b5e,campaign,gajian-booking-hotel-murah
60a75f49e09d363e90200b5f,campaign,gajian
60a73a38e09d363e90200b03,campaign,promo-penerbangan-internasional
60d2bbb7a943f2325e3ec9ea,campaign,promo-kereta-api
61497af2a11906250f70ee8a,campaign,event
60d2bbaca943f2325e3ec9e9,campaign,promo-sewa-mobil
60a737ffe09d363e90200b02,campaign,car-transfer
61553b99a11906250f711ff0,campaign,tiket-singapura
618e358af875282d1596fe2e,campaign,hotel-bca-staycation
617f778bcdf7dd03775811d2,campaign,cashback-bca
60936c0c2283b41e58459669,campaign,hotel-saleprise
60a32209e09d363e90200aa5,campaign,promo-todo
61552ab5a11906250f711fef,campaign,promo-hotel
610a12f2ea62e97a1957cdea,campaign,test-covid-19
6168fa7645c65a2b3228b596,campaign,sewa-mobil-antar-kota
609a740ee0112f40cccb8c2c,campaign,diskon-car-transfer
618516b55b8a620c41e648b7,campaign,car-transfer-diskon
61a46696cc21c636fd6a8da6,campaign,sewa-mobil-hemat
60b83ddf8afda73a68f984b8,campaign,teman-baru
60ff901f9d05ad70e4c19e89,campaign,promo-citilink
60f92fc59d05ad70e4c18110,campaign,lion-group
606bd62efa158d58fa5805a6,campaign,garuda-indonesia
61274afc4e66a270dbf4be38,campaign,citilink
61724774cdf7dd037757f9b0,campaign,gv-bca
6111df9b6a28a3464892e315,campaign,babies-everything
60e843daec4cae523357d20e,campaign,test-covid-indonesia
60ee5ac79d05ad70e4c16243,campaign,covid-test-pcr
61a08630cc21c636fd6a86b0,campaign,promo-uob
60c86e7ac22bf53f7ef6e1f5,campaign,promo-ocbc
